odour stim,19/03/2021 Female 7,22/03/2021 Male 1,22/03/2021 Male 2,22/03/2021 Male 7,22/03/2021 Female 11,29/03/2021 Female 3,29/03/2021 Female 5,31/03/2021 Female 1,31/03/2021 Female 4,31/03/2021 Female 9,31/03/2021 Female 10,31/03/2021 Female 13,08/04/2021 Female 1,08/04/2021 Female 5,08/04/2021 Female 7,08/04/2021 Female 8,08/04/2021 Female 9,08/04/2021 Female 13,08/04/2021 Female 14,08/04/2021 Female 15,28/06/2021 Male 14,28/06/2021 Male 15,28/06/2021 Male 16,28/06/2021 Male 18,02/07/2021 Male 1,05/07/2021 Male 1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.3328,6.7302,7.7052,7.7652,6.5594,5.1238,10.5197,2.4547,9.7184,6.5794,5.0279,2.6798,4.3556,12.4336,12.6641,5.153,12.7959,8.2067,6.4448,5.3683,5.5911,6.9576,9.8553,3.2945,2.2935,6.3919
0,4.3452,6.3456,7.9859,7.9947,6.5632,5.281,10.6946,2.7419,9.9072,6.3879,5.3137,2.5048,4.2619,12.3308,11.5585,5.3015,12.668,8.3367,5.8971,4.7931,5.4411,7.2035,9.7893,3.601,2.2765,6.2738
0,4.555,6.2549,7.591,7.591,6.1722,5.3164,10.3282,2.5592,9.9462,6.5474,5.3617,2.159,4.759,11.8757,12.3813,5.1869,13.3021,8.2149,4.9878,4.7054,5.0994,7.2545,9.4857,3.8953,2.3242,6.4142
0,4.4775,6.3415,8.1669,7.2312,5.9861,5.195,11.1726,2.8378,10.2136,6.7188,4.9342,2.5807,4.8294,12.5354,12.418,5.1176,12.1904,8.061,5.628,5.0514,4.9763,7.1248,8.5499,3.8485,2.2966,6.3471
0,4.2953,6.149,7.9678,7.3572,6.0705,5.0252,10.0846,2.792,11.0792,6.6793,5.3019,2.8147,4.992,13.4395,12.9342,6.1274,11.1498,8.7576,6.0214,4.7342,4.787,7.1993,8.0781,3.6401,2.2945,6.5171
0,4.2955,6.1917,8.0993,7.7952,6.7055,4.8138,10.7146,2.9078,11.3684,6.5789,5.7648,2.8802,4.6614,13.6371,12.9703,5.7482,13.0865,8.7822,5.8573,5.1397,5.0949,7.2124,8.1354,3.887,2.2731,6.2373
0,4.163,6.3434,7.9917,7.9381,6.4745,4.9092,10.2588,3.2594,11.3708,6.8314,5.746,2.5951,4.8624,13.6554,11.612,6.231,12.657,8.6644,5.6427,4.3098,5.0336,7.591,8.3962,3.4728,2.4187,6.4197
0,4.1994,5.9077,7.1804,7.8851,6.6284,5.2061,10.4304,3.3281,11.5837,7.0565,6.2633,2.5948,5.193,13.3185,12.3289,5.8595,12.4676,9.3418,5.6723,4.6577,4.9107,7.5053,8.5545,3.9026,2.4635,6.0595
0,4.4711,5.8528,7.1249,7.8051,6.41,5.7569,10.3755,3.3021,11.76,7.1921,5.6109,2.4953,4.9382,12.5467,12.8592,5.6816,11.7229,9.6821,4.9487,4.9425,4.7591,7.4248,8.4447,3.511,2.5153,6.036
0,4.3593,5.7594,7.6948,7.8666,6.6311,5.751,10.0786,2.8849,11.5784,7.2663,5.8794,2.2477,4.7873,12.9198,12.3553,6.553,11.1984,8.5212,5.26,4.5232,4.9563,6.5949,8.4165,3.4177,2.4589,5.9619
0,4.3306,6.222,7.9183,7.9672,6.8366,5.5582,9.7798,2.921,11.5804,7.6816,6.1593,2.8664,3.9895,12.0174,11.0652,5.7239,11.0285,9.0276,5.1076,4.5121,5.2796,6.0246,8.2819,3.7793,2.5543,5.6033
0,4.419,5.456,7.5027,7.7645,6.7545,5.282,10.4431,2.9081,11.2372,7.2756,5.5824,2.4466,4.3676,12.4865,12.4576,5.6305,11.316,8.6294,5.1804,4.8824,5.0646,6.0589,8.0244,3.5234,2.5745,5.3335
0,4.5053,5.8179,7.4497,6.7314,6.6044,6.0474,10.1314,2.8256,11.7765,7.6279,6.1286,2.2487,4.6883,12.3442,12.5203,6.5328,10.7932,8.1942,4.8604,5.0038,5.0411,5.8552,7.8457,3.5286,2.8026,5.4379
