odour stim,09/04/2021 Male 1,09/04/2021 Male 3,16/04/2021 Female 5,21/04/2021 Female 1,21/04/2021 Female 4,21/04/2021 Female 11,22/04/2021 Female 1,22/04/2021 Female 8,22/04/2021 Female 13,23/04/2021 Female 4,23/04/2021 Female 6,23/04/2021 Female 7,23/04/2021 Female 10,23/04/2021 Female 11
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,3.2015,14.3864,11.2598,5.5477,10.2854,7.7145,2.6065,4.5742,3.2455,3.3788,2.7608,2.211,7.6871,4.4748
0,3.4265,14.6589,10.4168,5.3885,9.918,6.8372,2.6556,4.5221,3.0469,3.3391,2.5267,1.9068,7.508,4.2675
0,3.3428,13.4764,10.3468,5.6571,10.2965,8.1499,2.5716,4.3691,2.9472,3.1739,2.5975,2.285,7.353,4.3323
0,3.3631,13.5327,9.978,5.767,9.311,7.3813,2.7826,4.3136,3.3357,3.2636,2.7152,1.8593,7.9725,3.8907
0,3.474,13.5139,10.2314,5.7976,9.0668,7.3958,2.7404,4.6237,2.9818,3.1978,2.6723,1.7242,7.7033,4.2573
0,3.4777,13.2209,10.2269,6.2346,9.6569,7.7392,2.4857,4.8596,3.0422,3.1527,2.4587,2.0295,8.2767,4.4062
0,3.3022,13.8363,10.2834,5.9901,9.6739,7.9179,2.6763,4.7176,3.2099,3.3209,3.008,1.966,7.774,4.636
0,3.8582,13.9562,9.6241,6.2798,10.3111,7.5803,2.397,4.482,3.2966,3.2088,2.8668,1.9508,8.1361,4.572
0,3.8757,14.9077,9.4071,6.2149,10.2943,8.1705,2.452,4.4629,3.2478,3.2489,2.4841,2.0003,7.7,4.8701
0,3.6599,15.6718,9.84,6.3544,9.9302,7.57,2.3544,4.4202,3.2049,3.1598,2.4846,2.1891,7.1419,5.0731
0,3.7373,15.3726,10.0558,6.6023,9.3503,8.4062,2.3786,4.4842,2.9615,2.9698,2.7916,2.3105,7.0207,5.0444
0,3.686,15.1218,10.9716,6.7539,9.5743,8.2752,2.3987,4.0839,3.4729,3.196,2.6827,2.4272,6.779,5.4743
0,3.4574,14.5449,11.726,6.7546,9.1812,8.7368,2.4185,4.0038,3.6306,3.0653,2.6376,2.0852,6.7717,5.1611
0,3.7856,13.2918,12.2172,6.5671,9.5939,7.7487,2.3101,4.2202,3.3714,3.206,2.5133,2.1331,7.2294,4.6676
0,3.4721,13.5379,12.8219,6.4407,11.1232,7.3571,2.4425,4.2456,3.2246,3.1534,2.5357,2.2149,7.0043,4.8146
0,3.6851,14.0119,11.8766,6.4143,10.7994,7.0664,2.1942,4.6695,3.1644,2.9173,2.5964,2.2034,7.4694,5.0645
0,3.8003,14.1773,12.0593,5.8964,10.3883,7.3235,2.2474,4.3203,3.3206,3.1991,2.5926,2.3425,7.3731,4.4449
0,3.8484,14.5482,13.7102,6.5496,10.6077,6.6184,2.2653,4.3341,3.3191,3.0401,2.7249,2.3301,7.2656,4.6444
0,3.6301,14.9489,13.0729,6.0062,10.7264,6.6346,2.1752,4.749,3.4236,2.8706,2.7703,2.3019,7.5868,4.4108
0,3.6154,15.7073,12.7851,6.3177,10.5021,6.3565,2.1354,4.5263,3.3908,2.7251,2.6729,2.3514,7.8255,4.6869
0,3.4969,15.5603,12.5354,6.0822,10.3206,6.5128,2.1322,4.4462,3.5135,2.7686,2.6128,2.1606,7.6097,4.7785
0,3.7287,14.7065,12.7491,6.0106,9.9929,6.4681,1.8243,4.7248,3.6546,2.6835,2.8174,2.3948,8.0182,4.384
0,3.6482,14.4661,12.119,5.7853,10.658,6.9439,1.9906,4.4665,3.8057,2.604,2.7222,2.1179,7.5803,4.0713
0,3.6944,14.0695,12.0219,6.0005,11.0183,7.2792,2.0259,4.7944,3.6787,2.5832,2.5311,2.2859,7.4141,4.0575
0,3.6349,13.2336,12.182,6.3901,11.7415,7.7491,2.2705,4.2512,3.6064,2.5615,2.4839,2.4215,7.6064,4.5235
0,3.736,14.0321,11.7544,6.2004,11.8349,7.5127,2.0864,4.5915,3.4426,2.5514,2.6957,2.0968,7.4223,4.5083
