odour stim,08/06/2021 Male 1,08/06/2021 Male 10,09/06/2021 Male 1,09/06/2021 Male 3,09/06/2021 Female 4,09/06/2021 Male 5,09/06/2021 Male 9,09/06/2021 Female 11,09/06/2021 Male 12,10/06/2021 Male 5,14/06/2021 Female 2,15/06/2021 Female 1,21/06/2021 Female 1,29/09/2021-male1,29/09/2021-male7,30/09/2021-female10,01/10/2021-male8,08/10/2021-female6,13/10/2021-female4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.216,3.3469,4.9265,13.06,10.1868,2.6502,8.8665,9.3476,4.7871,5.5733,7.7962,4.7871,5.5763,2.2877,15.7194,11.1742,13.4952,23.7489,8.736
0,3.9986,3.5674,5.5381,12.9375,10.6313,3.1721,9.0009,9.8821,5.1377,5.4362,7.6061,5.1377,5.3302,2.6021,14.3628,13.1864,13.0286,22.4046,5.0864
0,4.9673,3.2446,5.8186,12.1466,10.4912,2.7416,8.5814,10.0988,5.2377,5.4223,7.2839,5.2377,5.2072,2.424,12.4237,12.1949,12.8141,27.0824,7.0696
0,4.7041,2.994,5.2956,12.6852,10.8724,3.0591,9.1736,9.4611,5.3978,5.9483,7.1867,5.3978,4.8785,2.8342,12.5618,11.8078,13.8964,26.4863,7.592
0,5.0282,3.1749,5.5087,13.9966,12.3354,3.0238,9.0709,8.9287,5.3787,5.8385,7.4776,5.3787,4.9612,2.2387,12.2352,12.9704,13.153,23.7405,9.0912
0,5.5014,3.6694,5.0675,14.1347,12.192,3.1965,9.1618,9.104,5.4528,5.7497,6.9437,5.4528,4.7528,2.6326,11.513,12.4912,13.1835,22.4473,8.9768
0,6.0532,3.8089,4.8111,15.8285,12.9686,3.022,8.517,9.0525,6.2953,5.5596,7.0206,6.2953,5.3426,2.4263,11.157,15.2546,12.409,19.2405,6.2832
0,6.3758,3.5013,4.9328,16.5156,12.7041,2.8563,8.9262,9.4454,5.9948,5.2498,7.1023,5.9948,5.1118,2.6716,10.7649,14.6892,12.4201,22.926,6.928
0,7.0241,3.5217,4.8801,15.002,12.3837,2.8034,9.2407,9.2164,6.1635,5.8471,6.9355,6.1635,4.9142,2.9009,10.0944,12.177,13.2908,22.5351,5.08
0,7.0889,2.92,5.4768,14.2488,12.1069,2.9097,8.7099,9.4971,5.6056,6.5451,7.2163,5.6056,4.9333,2.9665,9.5779,12.7743,12.3904,22.5908,5.5904
0,7.3313,3.4143,5.2943,13.7431,12.0529,3.1204,8.7907,8.9119,5.4923,6.917,7.7396,5.4923,4.8603,2.765,9.447,10.986,13.1447,20.7489,5.784
0,7.5334,3.2419,5.0402,16.0932,11.4662,2.9142,8.7692,9.1809,5.1898,6.3284,7.4196,5.1898,4.8968,2.5123,8.0552,12.0813,11.8675,20.226,5.516
0,7.7697,3.3935,4.9462,15.4173,11.1462,2.8728,9.0155,9.6786,5.4808,5.7857,7.9192,5.4808,4.6492,2.2864,9.3328,10.0779,13.5887,20.3466,6.1984
0,8.0294,3.6,4.801,15.2928,10.9349,2.4188,9.0102,9.1191,5.2764,5.8994,7.3957,5.2764,4.4148,2.1683,7.3699,9.7117,14.7963,17.5519,5.1352
0,7.8945,3.4843,4.725,16.6445,11.0672,2.847,8.7456,9.5222,5.2426,5.6356,8.198,5.2426,4.5429,2.3536,9.3931,14.4877,13.6727,19.6916,6.5944
0,8.1773,3.7284,4.8355,17.8773,10.4918,2.8978,8.8215,9.5284,5.0188,5.535,7.8052,5.0188,4.4055,2.1663,7.482,13.4675,13.7005,19.371,6.9368
0,9.1806,3.1003,4.4173,17.1763,10.3041,3.1568,8.977,9.6423,5.0522,5.7957,7.7002,5.0522,4.3163,1.8684,8.331,14.3563,13.6121,19.4244,7.5888
0,10.0117,3.1022,4.2781,16.3341,10.1281,2.9466,9.22,9.5515,4.8825,6.6224,7.6028,4.8825,4.603,2.2974,8.0925,11.9743,14.165,19.7282,8.6816
0,10.9312,2.918,4.1415,15.8385,10.1283,2.5928,9.0168,9.1189,4.7222,6.0011,7.4228,4.7222,4.5677,2.0549,6.8505,12.0642,15.0068,15.9817,6.024
0,11.4499,3.0182,4.4829,15.5356,10.187,2.8353,10.2232,9.8254,4.7056,6.2861,7.5604,4.7056,4.3985,2.2271,7.6881,11.8296,14.9835,18.8366,8.808
0,11.0733,3.1964,4.4535,14.566,10.1008,2.8189,12.9623,9.7423,4.4311,6.1615,7.4505,4.4311,4.1754,2.3902,6.6947,10.8494,14.2778,18.0092,8.0528
0,10.187,3.4207,4.22,15.4472,9.865,3.1351,13.4391,9.7189,4.4342,5.631,7.2215,4.4342,4.6702,2.5291,7.9027,13.0707,14.2668,16.2702,9.7928
0,9.3205,3.4438,4.7607,18.2492,10.1211,2.5629,12.7783,9.5547,4.7517,6.1742,7.4237,4.7517,4.4785,2.2267,6.5573,11.2792,12.6046,16.1382,9.7912
0,9.6853,3.5505,4.2981,18.3246,10.1087,2.8681,13.0464,9.4675,4.3274,6.3978,7.2963,4.3274,4.1863,2.1714,7.9139,10.4497,15.6213,15.4015,7.6368
0,9.6453,3.5453,5.0334,17.0799,10.2844,2.6504,12.3822,8.6398,4.1227,7.2654,7.539,4.1227,4.031,2.6386,6.8492,11.6507,14.7364,15.9679,9.8552
0,8.9627,2.99,5.6016,16.8366,10.1074,2.9348,12.4864,9.0778,4.1586,6.619,7.4391,4.1586,4.2425,2.3662,6.6835,8.5783,15.2361,16.1282,7.9968
0,8.7772,3.4167,6.4514,16.3181,9.8882,2.5989,11.8363,9.3325,4.1841,5.5011,7.4527,4.1841,4.3434,2.1554,6.434,9.6099,14.0845,13.787,9.2504
