odour stim;16/11/2020 Female5;16/10/2020 Female10;17/11/2020 Male10;18/11/2020 Female4;18/11/2020 Male9;19/11/2020 Male5;19/11/2020 Male9;20/11/2020 Male8;23/11/2020 Female4;23/11/2020 Female8;25/11/2020 Female5;16/02/2021 Male4;17/02/2021 Male3
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;4.9762;8.2163;15.3867;16.6283;9.6394;23.9452;24.4372;13.28;8.8775;13.4063;15.0315;31.1272;14.3048
0.5;4.969;8.1818;14.8873;14.8956;8.4206;25.4084;22.7036;12.7933;9.0579;12.5239;13.9735;33.2034;16.9144
0.5;5.408;7.5304;16.8403;14.0966;7.8965;24.9914;19.6339;13.368;9.2386;13.0209;12.9643;33.5031;15.5417
0.5;5.95;7.7398;17.401;16.8097;6.9783;25.9489;17.06;13.0906;9.0771;13.6226;13.2942;34.7579;17.0611
0.5;5.7446;8.1124;16.503;17.0503;6.9609;26.8227;17.8946;11.4378;8.9007;13.3286;13.3876;34.1081;15.6496
0.5;6.1627;7.8765;18.1647;14.2536;6.7922;26.8809;18.663;11.8378;8.9392;12.9776;14.9753;34.975;16.2077
0.5;7.3591;7.7238;19.1316;13.421;7.5418;27.2735;18.1999;13.0069;8.8835;12.0943;14.7;38.7523;16.4518
0.5;7.2356;7.7202;17.5915;12.6893;6.542;26.1595;20.6192;12.4965;9.0069;12.0174;14.2947;38.4862;16.9912
0.5;7.3856;6.9802;16.8133;14.7444;7.1273;25.9918;22.5209;11.9937;9.058;13.9752;13.0064;38.5405;17.2441
0.5;7.7669;7.0725;14.9302;16.1495;6.3738;27.4785;22.6115;10.5818;8.9571;12.6667;13.3345;39.2854;17.5024
0.5;9.1362;7.0101;16.311;15.2646;6.6582;25.6054;23.5792;11.2253;9.5087;11.6432;12.6361;37.1385;16.4255
0.5;9.1785;6.8111;16.8898;13.9891;5.9795;23.9391;23.2181;11.3443;8.8672;9.1486;12.4094;36.6449;14.6311
0.5;8.8287;7.0807;14.9026;12.8931;6.5055;22.9395;22.4425;12.3946;8.1386;8.8595;13.044;37.3963;15.3791
0.5;8.7012;7.3055;15.4323;14.1991;6.988;18.7386;20.0991;11.8543;8.2618;8.5784;12.5143;36.6757;15.7668
0.5;8.5015;7.5427;13.9602;15.7283;7.3472;15.233;19.7953;11.569;8.8594;8.8362;12.6112;36.2356;17.0694
0.5;8.4139;7.2829;13.8821;15.0403;6.9504;14.0799;18.9201;12.1123;8.4038;9.4607;11.9246;34.3854;16.7131
0.5;7.5752;6.8326;13.9728;14.9435;7.9046;14.8241;15.4318;13.099;8.3455;10.5603;11.3292;34.6345;16.3909
0.5;7.2925;7.2628;13.5925;15.1625;7.9367;18.1045;12.363;13.3001;8.1405;9.1975;11.1508;35.9071;15.519
0.5;6.8119;7.1898;14.7393;15.1627;7.7742;17.0058;10.7222;12.8246;8.3698;8.6142;12.8732;34.7024;15.6556
0.5;7.2864;7.6545;16.5968;16.2662;7.7951;18.1131;11.0162;12.6652;8.7551;8.5852;12.8781;33.6433;16.6333
0.5;6.7514;7.468;16.2159;16.3208;6.9235;20.3626;11.575;12.542;9.2222;8.4199;13.0428;34.0059;17.6722
0.5;7.097;6.9553;16.3906;14.936;6.7086;23.3552;9.453;12.9696;9.8091;7.7695;13.508;33.8742;18.0958
0.5;7.4056;7.1038;13.1554;14.629;7.4606;25.7422;7.424;12.8647;9.4678;9.1362;13.3253;33.1761;17.3238
0.5;7.9376;6.5631;14.6682;13.7986;7.6824;26.7488;6.7087;12.7139;9.3053;9.2469;13.4336;34.4309;16.5842
0.5;7.299;6.8962;13.7567;13.4458;7.0515;24.4146;5.6728;13.3805;8.7546;10.3104;13.4172;30.5753;17.5645
0.5;8.028;6.2593;12.521;13.5791;7.8418;25.4512;5.3464;13.3847;9.0022;10.5193;12.9249;29.7266;16.3223
0.5;8.2783;6.1676;12.0253;12.8891;7.3778;30.7691;5.4076;13.7656;8.7053;10.6773;12.4021;30.1116;16.4853
0.5;8.6838;6.165;12.2675;14.2457;7.8044;30.3096;5.0695;12.8008;8.7324;8.7028;11.5756;29.4069;16.9441
0.5;9.4638;6.5713;14.879;15.3348;8.6603;25.6776;4.5047;14.6803;8.3962;11.1843;12.1628;30.5185;18.188
0.5;9.4072;6.3996;16.568;15.4888;7.3834;21.1373;4.2975;15.3148;8.5595;9.152;12.5624;30.7816;18.5971
0.5;9.3878;6.3365;14.7175;14.6121;7.3291;17.8148;4.1256;16.2854;8.4947;8.0186;13.7859;30.8895;17.7261
0.5;7.6969;6.0684;14.7716;15.3584;6.6265;14.6757;4.0094;16.0442;8.6711;6.4141;14.8265;30.9049;17.8979
0.5;7.9742;6.6408;13.7923;15.8518;8.0136;12.6379;4.2383;15.8218;8.4436;7.8024;14.8842;31.7616;19.0644
0.5;8.6073;6.3409;12.878;16.536;7.7192;10.9207;3.7159;14.9675;8.0897;7.8532;14.1793;30.4627;19.4046
0.5;7.1863;6.2448;12.4806;15.9227;7.5404;9.9888;3.8232;13.7736;7.8575;7.9226;13.8733;29.2611;20.697
0.5;6.578;5.5739;12.5242;17.0781;6.7022;9.4156;4.0551;13.6338;8.6228;7.7572;14.4182;30.7547;21.5992
0.5;6.6613;5.944;13.6769;17.4073;6.6598;7.8962;4.3952;13.2009;8.9805;7.6706;13.5617;30.3126;20.2996
0.5;6.5017;6.0819;13.9677;17.8078;6.5595;8.5001;5.1673;13.6402;8.9104;7.5718;13.5332;30.9979;19.1797
0.5;6.9177;6.2256;15.5347;18.5089;7.2031;8.7845;5.4042;15.1832;8.7515;6.3511;11.8368;32.62;20.5239
5;8.2014;6.5414;14.3968;19.4352;6.3654;8.5065;5.276;16.6009;8.5178;5.9154;11.8058;30.8527;18.6629
5;8.2154;6.9314;17.4797;19.7861;6.3117;9.0559;4.5951;18.5957;8.4142;5.7133;13.6207;32.0478;18.6264
5;8.515;15.8234;23.3763;20.4276;9.4489;10.2609;4.2113;25.6626;9.2095;9.6699;19.4151;33.0263;20.1337
5;9.3531;20.3445;27.647;20.9496;9.942;10.058;5.2776;28.1779;9.8646;13.9532;21.189;31.0662;18.5735
