odour stim;12/11/2020 Male5;09/12/2020 Male8;11/12/2020 Female4;11/12/2020 Male7;14/12/2020 Female2;14/12/2020 Female9;08/02/2021 Female4;08/02/2021 Male7;08/02/2021 Female8;09/02/2021 Male2;09/02/2021 Female7;09/02/2021 Male8;09/02/2021 Female9;10/02/2021 Male1
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;13.3082;7.3032;10.6857;20.322;20.4642;36.2224;8.1094;15.4381;12.924;8.8997;9.8923;6.3669;4.6619;13.633
0.5;14.782;6.8994;10.3832;21.3148;18.4669;35.3128;8.109;16.564;11.6974;8.7164;9.011;5.9078;5.366;14.5049
0.5;13.9601;8.2982;13.0804;19.552;18.4254;37.5072;8.3003;16.4614;13.063;9.4237;8.9462;5.928;5.9547;16.8754
0.5;14.9016;7.9663;11.511;20.7414;19.4565;42.2299;7.7322;16.3887;12.0074;8.7101;7.9533;5.9017;5.1838;18.9917
0.5;17.0026;7.9526;11.4936;19.2356;18.61;37.5951;7.1552;18.0044;14.348;8.4472;9.005;5.8342;4.8521;20.3553
0.5;18.6601;7.7055;13.0392;21.1576;18.2434;37.9564;6.8199;18.1411;15.2536;8.1122;10.3677;6.2229;4.4513;21.458
0.5;16.7889;7.4985;12.7356;19.5545;20.1296;37.5268;6.1066;19.9127;15.2653;7.9233;11.222;6.5351;4.8152;16.8118
0.5;18.0712;7.4212;11.621;17.1403;21.9556;38.3957;6.8893;18.2137;14.1067;11.2549;10.5414;6.1288;4.9308;15.5337
0.5;18.2591;7.436;13.904;16.3163;20.2691;41.6837;6.9724;18.5672;14.6847;11.0906;10.9664;5.8573;4.5839;16.4472
0.5;17.7393;7.4383;13.2656;17.5538;19.8053;42.224;7.4461;18.1884;15.8609;10.7027;12.2391;6.4486;4.712;17.0916
0.5;16.1839;7.388;13.9839;18.9923;23.5062;39.2923;7.0133;19.9623;14.3633;11.3049;12.2528;6.8625;4.246;20.7355
0.5;17.5108;7.6452;16.2693;18.6081;21.9188;34.572;7.464;20.6434;12.8331;9.9057;9.8324;6.2783;5.6115;20.1735
0.5;18.0456;8.0083;17.3112;18.9781;20.3108;37.768;7.8705;18.8435;13.2998;9.6049;9.6754;6.3975;4.9607;23.5918
0.5;18.6455;8.265;15.9884;17.6748;18.6639;37.9748;7.7852;20.1972;12.5881;10.8676;10.4884;5.8516;4.7969;19.2381
0.5;17.6723;7.8306;13.8067;16.1227;17.0784;37.37;7.8736;20.3604;13.6243;12.6929;11.6819;6.134;4.6033;6.5338
0.5;17.7303;7.9792;11.705;19.7526;19.1013;35.3668;8.4061;18.9188;12.7073;10.433;9.7177;6.3413;4.3716;11.4142
0.5;18.1168;7.6986;12.6481;19.8722;20.9038;36.6137;7.636;18.3023;13.1639;12.6325;11.0197;6.5273;4.6458;12.5935
0.5;17.6056;9.3453;12.9071;18.5706;20.0182;37.4894;7.8052;17.2987;14.955;11.0677;10.2879;6.8196;6.3656;17.2894
0.5;18.5838;10.0563;12.6737;18.8522;19.2753;38.1101;8.1765;20.7653;15.1289;12.4246;11.3496;6.101;5.607;16.0702
0.5;18.3793;9.6372;12.9413;19.4069;23.1248;37.5353;8.4276;19.7536;15.9694;10.4731;9.1426;6.3084;5.3506;14.4014
0.5;17.7214;9.3479;12.4741;20.1556;22.3527;38.2585;9.0174;17.8404;15.7816;12.5039;8.9774;5.894;6.9724;14.6134
0.5;16.2769;10.2227;12.9461;20.7433;20.8294;37.9144;9.624;20.7565;15.0156;13.0394;10.0781;6.1371;8.1564;12.8016
0.5;15.5006;9.9325;14.0849;21.0645;21.2813;40.8249;9.4142;22.0197;17.8061;14.7957;11.5471;6.3793;7.8074;14.0555
0.5;16.621;9.065;14.4222;21.8952;24.7857;36.2756;11.2197;21.8194;16.491;14.8706;9.7545;6.639;8.7365;12.1165
0.5;16.6172;10.5052;12.865;24.0705;23.2175;33.8048;11.5457;19.4108;17.8183;13.7367;8.9551;6.017;9.3994;14.9667
0.5;15.5968;10.7656;12.5415;23.6675;21.3786;36.1247;11.0611;18.2786;16.3529;14.4771;8.8004;5.9855;8.3771;8.9098
0.5;16.1821;10.1698;12.3792;22.3741;19.7183;35.0395;11.0293;18.6044;16.5505;12.7793;8.7361;5.8367;8.0976;2.5437
0.5;15.7426;9.9126;11.0881;19.2299;21.498;37.5914;10.4241;20.2453;16.2091;13.8177;9.1847;6.0178;7.9914;6.5789
0.5;17.761;9.6585;11.3337;18.7966;23.2415;42.3124;11.7527;19.101;18.0297;12.8619;8.3594;6.2989;8.1807;8.0203
0.5;18.6309;9.9963;12.934;23.0615;21.6508;41.098;10.9865;20.5087;17.3476;15.0861;8.8798;5.9137;8.4152;8.1518
0.5;15.9322;11.6239;12.1465;22.3106;19.6646;41.5471;11.1212;20.3458;18.4343;15.9883;9.6823;5.4059;10.4549;9.0299
0.5;17.912;11.5355;12.5692;25.8825;19.1819;38.7968;11.7811;18.6381;18.4314;14.6672;8.8109;5.4882;10.7269;8.6362
0.5;16.6069;12.8422;14.3154;23.5012;20.4355;40.8267;11.2604;17.3042;16.7083;15.4608;9.0564;5.8809;10.3489;8.3586
0.5;14.8316;11.9503;15.9354;23.6376;18.8807;39.3503;10.4124;15.7125;17.1133;14.1436;10.7451;6.097;10.0616;9.1447
0.5;16.5063;11.3389;15.7069;22.3428;17.7585;39.7049;11.7668;17.7824;18.1696;16.1937;10.3564;6.1435;11.2299;9.3135
0.5;16.8552;11.4531;14.4608;22.928;16.3252;39.3623;11.3249;21.2639;18.3132;14.9293;9.6036;5.8215;11.5412;8.1208
0.5;17.918;11.4469;16.6548;22.7521;15.6201;34.7269;11.3799;19.6093;18.3331;17.3563;9.7732;5.3362;9.7365;11.8551
0.5;17.4809;11.9111;15.8989;25.1664;14.641;38.8291;10.5642;19.7634;18.4352;17.3568;10.1387;5.5725;12.4703;4.4091
0.5;15.2416;13.4233;16.8953;23.4606;14.0249;42.6302;10.3053;19.1907;18.8553;15.6367;10.4445;5.7862;12.4911;5.4478
0.5;15.464;14.2639;16.8985;21.5866;13.4524;46.2168;10.4701;19.4966;18.2749;14.7817;10.575;5.5234;12.0644;5.8309
0.5;15.8203;12.8882;17.8189;18.9983;13.1435;39.2461;9.3307;18.5627;19.5104;12.2163;10.1602;5.5077;12.938;6.8963
0.5;16.3288;11.4003;15.7809;23.077;13.1385;36.7838;9.5842;19.4668;19.1203;15.8796;9.7066;5.0999;12.4428;8.0422
0.5;16.2968;12.1767;16.4311;24.7987;13.0009;35.4448;10.4591;19.0366;19.1108;15.9343;8.0771;4.8029;10.5627;7.4942
0.5;14.943;12.4207;18.7732;24.3287;12.6292;37.0839;10.9376;17.7943;17.5633;15.551;7.9864;4.5621;10.5642;7.7966
0.5;15.6012;15.3102;18.0785;20.9242;14.5311;38.262;9.9411;21.216;20.909;16.8679;6.8554;4.4668;11.3443;9.7011
0.5;16.3872;14.181;18.1534;25.5456;14.3585;44.5093;10.4713;20.4221;18.3672;14.3335;8.554;4.2832;11.83;8.2316
0.5;16.2479;12.9458;20.4246;22.2598;13.3958;45.2805;9.9106;20.557;17.1125;14.8973;8.4168;4.3399;9.9933;3.0958
0.5;15.5641;11.2498;24.3639;20.1854;12.8314;44.2048;9.95;20.7865;19.8167;15.3959;9.4125;4.0703;12.5832;3.2737
0.5;15.5924;10.8969;27.6207;19.5893;12.2818;39.3196;10.1306;19.7591;19.9423;16.8107;10.7509;4.2997;13.1047;4.9024
0.5;16.7136;10.8383;27.3552;17.8443;12.3352;37.7527;9.6248;19.5449;21.4001;16.1748;10.0935;4.228;11.233;7.8724
0.5;15.6968;10.7999;25.685;18.7253;11.7894;37.6167;9.7113;19.5885;21.8559;14.8562;8.7075;4.6401;9.44;8.7381
0.5;15.7333;13.2153;21.2352;18.4848;11.5422;34.3577;10.7407;17.8272;18.9583;16.4788;8.2319;4.5092;9.496;7.0053
0.5;15.4228;12.0639;18.529;20.0957;11.29;36.889;9.9186;19.9232;19.1352;14.9337;9.6267;4.4003;8.3922;9.9124
0.5;15.5873;13.3139;18.2471;18.9789;11.1884;37.6103;9.9558;22.0025;15.7153;15.4945;9.1213;4.1697;7.6158;9.933
0.5;17.3076;12.4492;21.8238;20.8825;10.9472;40.6829;9.7421;22.7745;14.9536;15.9487;9.4584;4.2058;7.1489;9.2872
