odour stim;16/11/2020 Female2;17/11/2020 Male1;17/11/2020 Male7;18/11/2020 Female1;19/11/2020 Female1;20/11/2020 Female1;20/11/2020 Female6;23/11/2020 Female1;25/11/2020 Female1;16/01/2021 Female1;16/01/2021 Female2;17/02/2021 Female1;17/02/2021 Male4
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;6.5535;9.2475;6.6401;5.7829;25.2436;16.5944;12.8076;6.4027;6.4721;18.5195;14.8405;17.1705;15.2386
0.5;6.173;7.8306;7.2194;6.2661;22.9422;18.5517;13.2903;6.2396;6.1736;18.6997;16.4798;15.2123;15.4437
0.5;6.6171;7.2645;5.982;6.3719;21.4752;19.5019;13.6066;7.2007;5.972;16.2576;15.5103;13.3337;15.5777
0.5;6.0878;8.0364;5.9992;6.4241;20.4966;18.1013;14.6093;7.8093;6.5327;16.631;15.209;11.6361;15.0959
0.5;6.9771;7.7441;5.4396;6.2164;19.2103;18.9532;13.7281;7.0399;6.5701;17.6653;15.4311;9.8818;15.5178
0.5;6.9043;6.3827;5.4286;6.2936;17.3439;17.5448;14.3587;6.7308;5.9186;18.6625;16.1474;8.479;15.1581
0.5;7.0864;6.0223;5.2188;7.0899;18.1602;16.4354;14.6828;7.0464;6.1381;16.4253;15.2261;8.7463;14.4101
0.5;7.5445;5.7634;5.3646;7.449;17.7043;14.8603;14.8994;7.2405;7.4701;16.5208;16.2811;8.012;14.4878
0.5;7.8871;5.4469;5.4101;7.5684;18.3723;16.197;14.5979;7.3261;8.5881;16.3428;17.3838;8.8368;15.5029
0.5;8.6228;5.5809;5.4366;6.3287;17.6133;15.3557;13.5691;8.4079;8.7464;17.818;18.1545;9.0784;14.4967
0.5;11.0924;5.0395;5.5659;6.0374;19.0366;14.5771;15.436;9.3877;10.1687;17.8527;17.6005;10.76;14.3855
0.5;10.4427;4.5088;5.893;5.672;17.506;12.1382;14.3539;9.9871;9.2926;16.9876;19.0486;11.6493;13.2667
0.5;10.9963;4.5235;6.4607;6.0045;16.199;13.5916;14.9419;9.0914;9.0443;17.1581;18.7492;11.0592;13.3636
0.5;10.997;5.1609;6.9102;6.1868;13.9299;14.882;15.3747;9.1712;8.5693;15.9032;19.2721;9.102;15.0206
0.5;11.0461;5.7427;6.7976;7.2852;13.3329;15.5951;15.8148;8.9268;8.3921;18.1563;17.2003;7.7324;14.8469
0.5;10.9622;5.7738;5.1805;7.1825;13.1315;16.0795;15.346;9.1194;8.615;17.7138;16.3281;8.2457;15.654
0.5;11.0023;5.3217;5.2172;7.2369;12.6182;15.6106;15.4413;7.9675;9.0348;16.7224;15;8.7625;13.9761
0.5;11.4738;5.1846;5.2117;7.7914;13.2626;16.4915;15.8318;8.3916;9.714;17.7495;15.3407;8.1;13.5066
0.5;11.2695;5.7099;5.353;8.1201;13.4062;13.679;16.024;7.7821;9.8978;16.5575;17.0626;7.5775;13.2924
0.5;12.6447;5.4949;5.8938;7.765;13.5781;14.8878;15.8085;8.4684;9.4594;14.7357;17.7096;6.4934;15.059
0.5;11.7048;5.9993;5.8635;6.5611;13.165;12.1227;15.511;8.9862;8.9269;15.8714;18.7075;6.4954;18.3618
0.5;11.4347;5.9771;5.8433;5.8893;12.006;11.5221;15.5782;7.7795;8.6967;16.4125;19.8573;6.5443;20.6583
0.5;10.825;6.1214;6.3621;6.384;11.7626;15.3781;16.6458;8.2992;8.6306;16.0672;19.7194;5.9832;22.3617
0.5;11.3277;5.675;6.2879;5.9071;11.5461;15.1799;17.3925;7.7063;9.094;16.0302;19.9574;5.8425;23.4005
0.5;11.4382;5.2665;5.8537;8.1587;13.2955;16.9571;17.451;7.3853;9.8119;16.3823;21.1546;5.5025;22.5221
0.5;12.3654;4.8956;6.3465;8.2605;12.2721;13.9235;18.3973;6.569;9.4966;15.7298;21.1035;4.8634;21.0979
0.5;11.8101;4.1756;6.6489;7.3128;12.8424;12.8126;18.3221;7.042;8.9124;16.3778;18.4487;5.235;20.4623
0.5;10.7969;4.4561;8.3808;6.1747;13.5257;11.0756;18.7739;7.269;7.6567;15.535;17.9765;5.3097;19.7993
0.5;11.2867;4.5233;5.9906;5.1302;13.8011;10.6771;19.2751;7.393;7.9837;17.0343;18.9069;5.1185;19.3194
0.5;12.0671;4.4513;5.3301;4.3662;14.9608;10.024;19.7646;7.4424;8.193;16.8175;17.4249;4.7631;19.3442
0.5;11.7167;4.4922;5.979;4.9159;16.5656;11.5453;19.1474;6.5942;9.8195;15.7825;16.5278;4.795;19.0703
0.5;10.904;3.8902;6.5219;5.5693;17.8522;10.4905;20.0088;6.9186;9.6298;16.4364;16.9167;4.8311;18.6492
0.5;10.0008;4.2671;6.3823;6.4626;18.9058;9.861;18.4493;6.9876;9.4097;14.8364;16.5097;4.7037;18.7781
0.5;9.777;4.801;6.6839;5.7688;18.7251;9.7705;18.3327;6.4937;8.1535;14.0495;15.7636;4.7032;18.9159
0.5;9.4828;4.8704;6.0668;6.2417;20.4482;8.3567;19.35;7.3902;8.1682;15.1418;16.2404;5.1126;18.6101
0.5;10.8269;5.1159;5.4863;6.3609;20.9352;8.1046;19.9766;6.9825;7.5498;15.4068;16.4825;5.2381;16.6941
