odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,1.9617,6.0194,2.3525,1.0783,3.3713,4.1956,11.2689,3.9119,4.6736,2.6179,2.0347,3.9382
0.5,2.1609,6.457,2.6082,1.3695,2.9215,4.6192,10.1152,3.7959,4.9078,2.2313,1.9134,3.5575
0.5,2.134,6.2454,2.6169,1.5001,2.7836,4.3065,10.2487,3.9077,4.8711,2.1409,2.088,3.6773
0.5,2.0198,6.2147,2.6377,1.7518,2.8306,4.6087,11.4008,3.8834,5.1106,2.0547,2.0913,3.5854
0.5,1.9943,5.974,2.8122,2.1206,2.5388,4.6274,10.2633,3.4684,4.6521,2.1095,2.0769,3.2455
0.5,1.8487,5.8048,2.6336,2.2554,2.3806,4.7365,9.9428,4.0224,4.6594,1.762,2.0026,3.3562
0.5,1.9777,5.9808,2.4844,2.2664,2.6075,4.5452,9.6461,3.5048,4.3758,1.7176,2.1732,3.3098
0.5,2.1282,6.1663,2.6161,2.3079,2.5359,4.2919,10.0908,2.9465,4.7253,1.7686,1.9505,3.1733
0.5,1.9183,6.3412,2.9329,2.3172,2.6817,4.3058,9.8866,3.8016,4.6599,1.7844,2.0027,3.2846
0.5,1.92,5.9308,2.5809,2.0959,2.643,4.2577,8.3291,3.0199,4.2772,1.6323,1.716,2.9965
0.5,1.8025,6.2905,2.7041,2.3056,2.6996,4.4788,7.7146,3.2628,4.5582,1.5882,2.1373,3.3851
0.5,1.8495,6.0404,2.7384,2.1374,2.6343,4.7262,7.7802,3.6927,4.3576,1.6643,1.8203,3.2591
0.5,1.5922,5.6344,2.721,2.1641,2.6449,5.0406,6.9175,3.6135,4.3299,1.534,1.9117,3.0659
0.5,1.7539,6.36,2.6178,2.3149,2.982,4.6437,7.478,2.8211,4.0224,1.6931,1.7838,3.1864
0.5,1.8916,6.1149,2.7782,2.0923,2.6894,4.3992,7.4976,3.7428,4.1511,1.5013,1.7843,3.4096
0.5,1.7656,5.6798,2.832,2.0512,2.7061,4.8041,7.1426,3.4161,4.7476,1.4931,1.9055,3.2267
0.5,1.8372,6.6101,2.6478,1.8083,2.9359,4.1752,6.7784,3.5417,5.0634,1.6793,1.7767,3.2337
