odour stim;12/11/2020 Female1;12/11/2020 Female2;12/11/2020 Male7;12/11/2020 Female8;13/11/2020 Female2;13/11/2020 Male1;13/11/2020 Male5;13/11/2020 Male6;13/11/2020 Female11;11/12/2020 Male2;15/12/2020 Female2;08/02/2021 Male6;08/11/2020 Male4
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;12.0575;3.5865;3.8342;3.4781;4.0952;5.376;10.7282;4.5891;9.7831;10.8747;8.9592;25.6767;11.5682
0.5;11.4869;4.3434;3.9151;3.2154;4.671;6.1271;9.4498;5.0576;11.373;12.1368;9.1962;23.7575;10.9028
0.5;12.3411;4.8993;3.8298;2.9874;4.1531;6.3581;10.7863;5.519;10.5586;13.8047;9.2238;20.6372;12.0507
0.5;12.0472;4.1476;3.7787;3.4575;4.1622;6.3235;11.6759;6.0364;9.5593;11.9429;9.1715;21.6175;11.7747
0.5;12.8353;4.4105;3.6091;3.5361;3.8908;6.2785;11.8872;6.6506;9.4891;12.268;9.7757;22.4251;10.4187
0.5;11.9564;4.6126;3.4864;4.1891;3.9265;5.9841;11.7076;6.9858;10.3211;11.1913;8.6036;20.7048;11.1241
0.5;10.1376;5.1868;3.5206;4.9997;3.6998;6.6283;12.0101;6.7555;10.7372;9.9004;8.615;19.2625;12.0959
0.5;7.5652;4.958;3.4929;5.0305;3.7265;5.6788;13.4275;6.3164;9.7158;10.6659;9.2943;20.9285;12.7768
0.5;6.8789;4.8946;3.9934;4.6974;3.8154;5.9578;14.5474;5.4178;8.7411;11.6256;9.4009;21.9276;13.148
0.5;7.0712;4.76;4.3797;4.8939;4.1142;6.4817;14.1439;5.4837;8.6907;12.4943;8.6861;20.5878;12.3041
0.5;7.2748;5.0061;4.0099;4.6656;4.1531;6.6781;14.0862;5.0767;9.2718;12.9636;7.5094;19.435;13.9022
0.5;7.9264;4.938;3.5973;4.2516;3.8545;6.2657;14.5888;6.0734;9.5793;14.4304;9.1365;20.3409;12.5741
0.5;8.5698;4.5761;3.754;4.5869;3.794;5.3151;16.0423;5.0351;9.9886;12.7648;8.2094;21.7926;13.4728
0.5;7.4678;4.3994;3.6989;4.6085;3.775;5.5315;13.8813;5.3527;11.1814;14.3788;9.4061;20.608;13.2895
0.5;7.3338;4.4543;3.5505;4.3053;3.8788;6.2797;14.9055;5.9125;10.5782;12.8512;8.4062;24.2523;13.0729
0.5;6.4527;4.8969;3.473;4.0579;4.3274;5.2857;13.7812;5.6704;10.1433;13.4294;8.4842;29.7782;11.8032
0.5;6.4323;5.0384;3.3092;4.412;4.4979;5.0032;14.6271;5.6515;9.3834;15.6058;9.6157;27.0336;10.8384
0.5;5.7762;4.7989;3.4316;4.4063;4.2868;5.5931;15.1239;5.1563;10.6344;14.4746;10.0147;30.1391;11.5348
0.5;5.9048;4.7211;3.4511;4.0889;4.8413;6.3534;19.1817;5.2643;9.691;15.6158;9.5956;32.7044;10.7149
0.5;5.5517;5.5231;3.2527;3.8659;4.6164;6.9569;17.3475;5.4851;8.5969;15.4222;10.1137;32.0963;9.9168
0.5;4.9138;5.0861;2.8374;4.1224;5.794;6.3022;19.9557;7.1972;7.4817;13.9003;9.6542;24.3657;11.2634
0.5;5.5075;5.8173;3.9366;4.2139;5.0509;5.5322;18.4383;6.7381;7.4053;12.9563;8.4503;20.4515;10.6152
5;5.3031;5.8825;5.2488;3.8912;5.8936;6.0042;17.654;6.344;8.915;14.768;7.9322;18.2848;9.7863
5;5.1481;6.2018;5.0077;3.646;6.1475;6.0343;16.0722;5.9603;7.8882;14.0444;7.7203;19.8019;10.019
