odour stim;30/09/2020 Female3;30/09/2020 Male8;30/10/2020 Female2;30/10/2020 Male9;02/11/2020 Female2;02/11/2020 Male9;02/11/2020 Female11;03/11/2020 Male2;03/11/2020 Male8;04/11/2020 Female2;04/11/2020 Female8;04/11/2020 Female9;25/02/2021 Female9
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;4.7204;5.9025;3.0081;2.5188;5.1812;5.7733;3.1003;3.4603;3.8667;2.1102;1.5493;3.7263;4.0549
0.5;4.6744;7.0612;2.8814;2.147;4.8432;6.007;2.9025;3.462;4.6543;2.1373;1.4521;3.6488;3.6522
0.5;4.9018;7.0563;2.7028;2.3396;5.1159;6.0346;2.8721;3.5126;4.6771;2.2047;1.6275;3.5072;3.639
0.5;4.9583;6.4828;2.9846;2.3146;5.2658;5.9815;3.0738;3.6921;5.0491;2.023;1.5023;4.2743;3.5227
0.5;4.5638;6.0126;2.9872;2.1085;4.6493;5.764;3.0573;3.5848;5.0049;2.025;1.4999;5.4464;3.9425
0.5;4.7463;5.4275;3.1738;1.9556;4.7623;5.7647;3.0851;3.5702;5.0912;2.3151;1.5496;6.8747;4.5808
0.5;4.8733;5.4051;3.138;2.239;4.7245;5.8205;3.0325;3.7235;5.216;2.1924;1.832;7.9284;4.5412
0.5;4.8895;5.9588;3.2626;1.7963;4.8591;5.6434;3.1036;3.5467;5.1377;1.9842;1.7257;8.7129;4.4938
0.5;5.1471;5.7818;3.2054;1.9355;4.4108;6.0471;3.286;3.4488;5.2344;2.2129;1.7097;8.2905;4.1475
0.5;5.0976;5.4625;3.2114;1.8156;4.5729;5.9738;2.925;3.4709;5.7181;2.3362;1.728;8.2916;4.3194
0.5;4.9626;5.6427;3.622;1.89;4.7631;5.4881;3.3655;3.7298;6.1854;2.748;1.9214;8.2851;4.0082
0.5;4.7957;5.4028;3.5415;1.8379;4.7476;5.432;3.134;3.8883;6.2908;2.7796;1.8538;8.1769;4.2689
0.5;4.7768;5.1335;3.1621;1.7621;4.5253;5.3855;2.9141;3.5105;6.142;2.9059;2.1468;7.9787;4.1564
0.5;4.6878;4.8998;3.1084;1.9538;4.87;5.7876;2.6527;3.2091;6.0255;2.9095;1.9123;7.5275;4.3446
0.5;4.6979;4.6763;2.9537;1.984;4.6872;5.6344;2.8361;3.1242;6.3082;2.8687;2.3275;8.297;3.8031
0.5;4.8423;5.4365;2.9136;1.8982;4.6635;6.1321;2.7806;2.8688;6.6424;3.0558;2.5474;9.0625;3.9547
0.5;4.9364;5.8593;2.9877;1.7662;4.6481;5.9166;2.6224;2.8136;6.5395;3.2501;3.1064;9.6246;3.858
0.5;4.8178;5.7818;2.6095;1.7724;4.8765;5.9535;2.7429;3.015;6.1963;2.9333;3.0817;10.2516;3.9053
0.5;4.8003;6.4151;2.364;1.917;4.7807;6.1483;2.8186;2.7553;6.025;2.863;3.142;10.0913;4.1638
0.5;4.6823;7.0593;2.2695;1.8986;4.499;5.8891;2.8524;2.7272;5.8684;2.7701;3.6958;10.4678;3.7463
0.5;4.4067;8.5903;2.312;1.5527;4.2681;5.9173;3.103;2.6795;5.7328;2.8696;4.1352;10.6998;3.8037
0.5;4.8839;10.0005;2.0423;1.926;4.2368;5.6342;3.0645;3.0141;5.6174;2.8003;3.8085;10.6074;3.5542
0.5;4.6195;10.4673;2.0829;1.8819;4.2515;5.8881;2.8189;2.8441;5.3264;2.5749;4.4142;10.9832;3.4815
0.5;4.5977;10.9375;1.8915;1.9245;4.6794;6.3769;2.8739;3.0478;5.1133;2.4049;5.0202;10.0053;3.5619
0.5;4.2944;10.3569;1.6924;1.8723;4.4508;6.2472;3.2569;3.0233;4.8803;2.0576;5.5437;9.3411;3.5046
0.5;4.0977;10.2143;1.6242;2.1076;4.5822;6.5665;4.6336;3.2683;4.4184;1.8732;5.4384;8.9009;3.5219
0.5;4.5038;10.6686;1.8219;2.4747;4.6666;6.3908;5.7785;3.2977;5.0123;2.201;5.7444;8.0925;3.7124
0.5;4.3887;10.1614;1.8647;2.6387;4.6122;6.1939;6.9361;3.4879;4.7831;1.7883;5.8013;7.9633;3.1266
0.5;4.3677;9.4439;1.7342;2.8004;4.8754;6.416;7.3956;3.4088;4.8366;1.9355;5.9366;7.9692;3.2104
0.5;4.3883;9.0039;1.6912;2.6525;4.8402;6.1059;7.4422;3.4194;5.2224;1.8497;6.2062;7.5154;3.6567
0.5;4.3177;9.1181;1.46;2.8306;4.3956;6.0066;9.0974;3.5658;4.9932;1.59;6.4477;7.1255;3.3745
0.5;4.6209;9.1168;1.5733;2.4271;4.368;5.9304;8.9672;3.4995;5.1306;1.7562;6.4626;7.4566;3.5742
0.5;4.7802;9.0071;1.5565;3.0295;4.3012;5.9645;7.8963;3.4065;4.9088;1.9075;6.4055;7.7773;3.6264
0.5;4.9452;9.1835;1.4322;3.4604;3.9425;6.1289;7.0897;3.436;5.1632;2.1973;6.4274;7.1913;3.6429
0.5;5.4353;8.766;1.5072;3.6782;3.9565;6.3062;7.9931;3.3584;5.1202;2.371;6.8702;7.1681;3.7395
0.5;4.8882;8.8059;1.4086;3.8729;3.747;6.0017;8.3001;3.4862;5.1752;2.0108;7.1952;6.8727;3.7291
0.5;5.2881;8.3548;1.3445;4.2451;3.8983;6.189;8.828;4.0539;5.4249;2.0188;6.8018;7.4327;3.3493
0.5;5.3018;8.4846;1.6653;4.4031;3.5479;5.92;7.2488;3.9519;5.3777;2.43;6.5877;7.9247;3.5431
5;5.0868;8.6136;1.6662;4.8515;3.4149;6.0041;7.0068;3.548;5.7302;2.1511;6.0111;7.5681;4.0535
5;5.1788;8.8693;1.7416;5.0753;3.0958;5.8976;5.9327;3.5834;5.5443;2.5687;5.1902;7.4579;3.7907
5;5.2193;9.1203;1.4924;4.5147;3.7742;6.0889;6.1654;3.6357;5.7367;2.521;4.6366;7.6437;4.3756
