odour stim;12/11/2020 Female3;12/11/2020 Female4;12/11/2020 Female9;13/11/2020 Male3;13/11/2020 Female4;13/11/2020 Male7;13/11/2020 Female8;13/11/2020 Male9;13/11/2020 Male10;09/12/2020 Female13;11/12/2020 Female1;14/12/2020 Male1;08/02/2021 Female1;09/02/2021 Female6
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;16.1484;10.0917;6.7828;9.4845;4.8719;8.056;6.0622;7.1153;7.9389;12.7632;28.904;6.1965;8.8501;9.1534
0.5;16.6306;10.0362;6.514;8.1877;4.7832;7.4505;6.6364;7.5104;7.8693;10.9553;27.5707;6.113;9.7455;8.6106
0.5;17.9615;9.526;7.2091;9.4864;5.7913;9.1461;6.1973;7.6161;8.7473;11.1548;28.9285;6.182;8.7809;8.152
0.5;17.4625;8.8437;7.9842;8.3479;6.1816;8.7651;5.6637;7.504;8.7962;10.4294;32.2744;6.0821;10.0592;7.7686
0.5;21.3186;9.6112;8.9697;8.5492;6.6628;8.4215;6.0459;7.4435;8.05;9.6953;30.3282;6.3973;9.6489;7.3866
0.5;17.7242;9.5369;9.0969;8.2487;6.2607;7.9291;7.3029;7.5756;7.4836;10.2144;27.1101;6.4532;8.7071;7.4304
0.5;18.5276;9.964;8.7064;7.9912;6.3733;8.4486;6.7168;7.72;6.9959;11.5472;27.1437;6.1777;9.6928;7.7927
0.5;16.2848;11.6706;7.6037;8.3441;5.7623;9.6715;6.0576;6.6949;6.3703;12.9782;27.1966;6.3064;9.1342;7.2121
0.5;16.3575;11.0534;7.8777;8.1791;6.999;11.9167;6.0505;6.8022;6.2767;13.0249;27.8181;6.2362;8.9797;7.0254
0.5;16.4492;9.8808;9.6632;7.1485;8.0547;10.9725;5.6914;6.8997;6.5651;13.8498;26.661;5.8124;9.0302;8.2384
0.5;15.0403;9.2911;8.8704;7.7119;8.0775;9.5269;5.4617;8.0355;6.9275;12.3894;27.307;5.9296;9.9653;7.5862
0.5;15.8986;8.7384;8.2821;8.0305;8.5887;9.0423;5.7048;7.2618;7.9156;12.2866;25.8366;5.9852;10.8963;6.7894
0.5;15.9473;8.4232;8.4579;7.0948;9.4559;8.6048;6.7058;7.811;7.3382;14.5599;24.9918;6.0759;11.2563;6.6418
0.5;14.5446;9.5026;7.3966;8.165;8.5593;8.0757;7.1145;7.1829;7.7991;11.0824;30.9486;5.8225;11.3371;7.3627
0.5;16.0821;9.0408;7.3569;7.8554;9.5506;7.6012;7.0352;7.7889;7.0276;14.4658;32.4823;5.9108;11.748;7.5797
0.5;17.211;9.7861;7.0222;7.7886;9.5627;8.7956;7.2931;7.5614;6.5192;13.5091;34.2271;5.6448;11.0007;8.3021
