odour stim,29/04/2021 Male6,29/04/2021 Female10,30/04/2021 Male2,30/04/2021 Female4,30/04/2021 Male6,30/04/2021 Female7,30/04/2021 Male10,30/04/2021 Female12,03/05/2021 Female5,03/05/2021 Female6,03/05/2021 Female8,03/05/2021 Male10,05/05/2021 Male2,05/05/2021 Female3,07/05/2021 Male2,07/05/2021 Female3,07/05/2021 Female4,07/05/2021 Male6,07/05/2021 Female8,19/07/2021  Male2,22/07/2021  Male4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.1828,4.7733,6.2684,3.0956,3.2645,5.9695,1.5715,4.3001,3.464,3.7717,7.207,4.0561,3.1443,2.8892,2.5203,3.1671,2.484,2.9808,1.9698,3.5219,9.2153
0,4.0536,4.698,6.2122,3.2417,3.1648,6.3029,1.4917,4.2182,3.3668,3.4181,6.6422,3.8858,3.0709,2.8027,2.0879,3.4914,2.6357,2.7697,2.138,3.291,9.3749
0,3.8378,4.8357,6.2319,3.1306,3.2871,6.084,1.5217,4.0185,3.2655,3.4245,7.0686,4.1519,2.9067,2.7747,2.3568,3.3893,2.616,2.7938,2.3058,3.4905,9.7823
0,4.1005,4.7013,6.2782,3.2071,3.0815,6.0686,1.6805,4.0798,3.1786,3.5749,7.3869,4.078,3.0965,2.8929,2.3447,3.5258,2.6527,2.7711,2.1446,3.047,10.072
0,3.9095,4.8652,6.3152,2.9614,3.1709,5.9001,1.7847,3.8497,3.1814,3.5133,7.874,4.0331,2.9912,2.6885,2.4251,3.524,2.7581,2.7449,2.2007,3.5176,9.6413
0,4.0729,5.0685,6.4226,3.0538,3.0888,5.9172,1.714,3.546,3.2025,3.457,7.647,4.0236,3.0986,2.6578,2.4693,3.3998,2.8329,2.5861,2.1949,3.3416,9.7691
0,4.2624,4.4342,6.3761,3.058,3.0437,5.7794,1.7448,3.5462,3.1944,3.3388,7.558,3.8723,3.1148,2.6755,2.4611,3.5193,2.91,2.7819,2.2346,3.318,10.3881
0,4.3185,4.5397,6.1785,2.9135,3.1723,5.6794,1.6463,3.8591,3.2395,3.1439,7.5213,4.0612,2.7189,2.7354,2.3371,3.7025,2.9526,2.6785,2.1287,3.4308,10.7582
0,4.3409,4.7553,6.3384,2.9494,3.1742,5.9839,1.8907,3.881,3.0499,3.3414,7.3821,4.0614,2.9045,2.8449,2.2885,3.598,2.7586,2.7464,1.9352,3.3389,10.7173
0,4.2718,4.5319,6.1676,3.0861,3.2654,5.9407,1.8869,3.9443,3.2518,3.1822,7.2199,3.8492,2.9913,2.7332,2.402,3.5949,2.8013,2.7332,2.0903,3.2968,10.7875
