odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;4.8946;4.4421;16.0422;10.2956;11.6395;9.5291;9.7959;18.2014;12.2959;10.4789;7.3051;10.8637;19.424
0.5;5.1012;4.552;16.4863;9.1785;11.5937;9.7696;9.8777;17.7486;12.9949;9.599;7.744;11.1365;19.9145
0.5;4.3595;4.986;14.7705;9.1927;12.6917;9.7441;9.8865;17.0296;12.3955;7.4365;7.4098;12.1814;20.0447
0.5;4.9078;4.5591;14.9305;9.5865;12.2807;9.5465;9.9461;17.0703;11.2386;6.6054;7.8314;12.113;17.8829
0.5;5.2336;3.9647;15.7016;9.648;13.0349;8.8125;9.5014;19.6307;11.3705;6.0541;7.6703;12.3998;17.406
0.5;4.6194;4.6987;17.2344;9.8492;12.0513;10.1487;9.825;18.5969;10.3585;5.3186;8.0359;12.9379;17.1608
0.5;4.7422;4.2147;16.6515;9.5813;11.284;10.0856;9.8974;19.8806;9.8833;5.2061;7.2642;12.3757;15.9147
0.5;3.5664;4.3449;15.1087;9.4957;10.1147;10.7158;10.5286;20.4129;9.9;6.0437;7.1503;12.5276;16.1377
0.5;3.2022;4.099;14.4967;9.2738;10.6941;10.2426;10.3593;20.2016;10.6692;5.7975;8.8151;11.7877;16.5356
0.5;3.079;4.1883;13.7606;7.0592;11.4191;10.0367;10.187;20.0205;10.059;6.5874;9.2501;11.2244;16.9618
0.5;2.7986;4.3004;14.0092;7.1536;11.9141;9.4974;8.5794;22.4156;10.6364;7.1144;8.2817;11.8456;16.4734
0.5;3.5253;4.2179;13.8318;6.8457;12.7193;9.6362;9.1672;23.7003;10.9342;8.1345;8.3142;12.5593;16.0264
0.5;4.2428;4.2601;13.9789;8.8229;14.5445;9.8931;9.7804;25.232;12.8794;8.0555;8.5493;12.0021;15.5912
0.5;4.8851;4.278;14.4354;9.9753;14.6084;11.5114;9.3667;26.0156;12.6398;7.7838;7.9502;11.9398;14.988
0.5;4.0234;5.0598;14.5715;8.6112;12.7091;9.9191;9.2856;26.8181;13.5094;6.9494;7.2242;10.3511;14.5418
0.5;4.0224;4.1684;14.5945;8.3635;14.4025;8.6851;9.9043;26.7088;14.8005;6.7797;7.4946;10.8459;15.1488
0.5;3.8017;4.4;14.7282;8.1808;14.9871;8.9658;9.3948;26.6193;13.2537;6.8909;6.889;11.1701;15.6657
0.5;4.3303;4.344;14.3109;8.9907;14.6193;8.8019;10.0301;24.9967;12.0715;7.5967;6.9026;11.3018;15.4852
0.5;3.7678;3.9299;14.8918;8.6713;14.1973;8.4944;10.2496;23.6116;10.8931;7.467;6.8803;12.1536;13.932
