odour stim;07/12/2020 Female10;09/12/2020 Male4;09/12/2020 Female11;11/12/2020 Female3;11/12/2020 Male8;14/12/2020 Male3;14/12/2020 Male7;15/12/2020 Male3;15/12/2020 Female8;08/02/2021 Female2;09/02/2021 Female5;10/02/2021 Female2
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;25.915;16.5021;8.1339;12.2012;19.0835;16.7259;24.1256;28.4273;12.2974;14.2737;12.0426;6.2967
0.5;25.1406;15.0322;7.59;13.8236;18.8162;19.5135;25.1552;28.6254;11.792;15.0837;11.6025;6.9532
0.5;22.5818;16.2702;8.2286;13.0815;17.2434;18.2294;23.9895;28.6238;11.5659;15.1443;11.4615;7.1085
0.5;23.1352;14.058;7.896;12.2874;16.4427;17.5185;26.0303;32.9454;11.2558;14.3314;11.1597;6.8572
5;21.2024;14.3434;8.9817;13.2132;18.3673;17.9465;29.0135;31.6071;11.3988;14.4116;11.3809;7.328
5;22.9116;15.5659;8.7607;14.4258;18.7896;18.6807;27.8512;27.5788;11.2896;13.6206;11.279;8.5481
5;21.6878;14.6794;8.6656;13.7965;17.7246;17.3177;32.1406;25.9431;13.2383;13.5752;11.3341;8.5151
5;23.1382;13.8146;7.9081;13.1398;18.62;18.417;33.3198;26.0325;15.7931;16.8404;11.0133;6.9864
5;19.5954;14.5324;8.2639;13.9722;18.6783;18.2423;28.179;28.7098;13.9945;18.2714;11.3022;5.7934
5;16.2935;14.3305;7.7839;13.2728;19.1928;19.6688;30.7754;30.8949;13.967;19.3433;11.2526;6.8866
5;17.8031;15.064;7.6768;12.4244;20.5901;20.8404;27.6477;30.8795;17.9333;17.613;11.3362;6.5115
5;15.4162;16.2502;7.5369;11.9375;19.4836;18.9392;27.7453;26.4375;17.2054;17.3381;10.8715;6.5061
5;15.1876;15.7425;7.7652;14.4651;18.0211;18.1669;29.1755;30.4725;14.9956;16.5938;11.0516;5.8646
5;13.3783;14.8284;7.2284;13.634;15.9735;16.2925;29.2133;29.2773;14.3382;15.6101;11.469;5.4946
5;13.4873;14.9303;7.518;12.3569;14.1076;15.2286;28.4086;30.134;14.3288;16.5554;15.1869;6.5498
5;13.8458;14.4673;7.3171;12.5123;13.0588;13.9828;30.5423;31.423;16.6476;17.1132;21.1165;6.2312
5;13.6463;16.6348;7.5494;11.2921;12.762;13.3903;32.0246;30.6127;19.8773;16.44;18.8417;5.8947
5;13.8502;15.6519;7.0679;12.9988;11.9074;12.7568;31.1638;34.4858;18.6512;16.4914;16.9184;5.3836
5;13.0166;16.786;7.6782;14.143;12.5767;11.8129;29.3918;31.3895;17.1812;14.0207;15.7969;5.3414
5;13.8658;17.903;7.1508;13.718;12.9006;11.7451;30.9891;31.7034;15.3834;13.6734;15.1785;4.6461
5;11.776;18.1165;7.3017;14.0085;14.8301;10.9294;31.1844;28.0663;14.515;14.4201;14.5776;6.0884
5;10.4566;19.232;7.2669;15.9696;15.0228;10.7427;35.8579;30.6437;13.5969;13.5294;13.5911;7.297
5;9.5687;17.8164;7.4383;14.9448;14.8348;10.3885;33.7364;35.0572;14.6895;13.0046;12.714;7.2238
5;11.9112;18.924;7.1586;14.2269;14.4974;10.2075;31.7253;34.2509;13.6184;13.9402;11.8103;7.9054
